chamber_pressure_bar,mixture_ratio_o_f,propellant_family,isp_index,c_star_index,thrust_coefficient_index,chamber_temperature_index,note
17.5,1.2,lox_ethanol_proxy,0.67965,0.58092,0.72081,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,1.5,lox_ethanol_proxy,0.84097,0.76707,0.72081,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,1.8,lox_ethanol_proxy,0.91285,0.85,0.72081,0.82,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,2.1,lox_ethanol_proxy,0.84097,0.76707,0.72081,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,2.4,lox_ethanol_proxy,0.67965,0.58092,0.72081,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,1.2,lox_ethanol_proxy,0.6809,0.58092,0.72446,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,1.5,lox_ethanol_proxy,0.84223,0.76707,0.72446,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,1.8,lox_ethanol_proxy,0.9141,0.85,0.72446,0.82,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,2.1,lox_ethanol_proxy,0.84223,0.76707,0.72446,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,2.4,lox_ethanol_proxy,0.6809,0.58092,0.72446,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,5.0,h2o2_kerosene_proxy,0.40021,0.26455,0.7055,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,5.75,h2o2_kerosene_proxy,0.59282,0.48679,0.7055,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,6.5,h2o2_kerosene_proxy,0.9076,0.85,0.7055,0.72,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,7.25,h2o2_kerosene_proxy,0.59282,0.48679,0.7055,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,8.0,h2o2_kerosene_proxy,0.40021,0.26455,0.7055,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,5.0,h2o2_kerosene_proxy,0.40231,0.26455,0.71161,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,5.75,h2o2_kerosene_proxy,0.59491,0.48679,0.71161,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,6.5,h2o2_kerosene_proxy,0.90969,0.85,0.71161,0.72,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,7.25,h2o2_kerosene_proxy,0.59491,0.48679,0.71161,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,8.0,h2o2_kerosene_proxy,0.40231,0.26455,0.71161,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,5.0,h2o2_kerosene_proxy,0.40402,0.26455,0.71659,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,5.75,h2o2_kerosene_proxy,0.59662,0.48679,0.71659,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,6.5,h2o2_kerosene_proxy,0.9114,0.85,0.71659,0.72,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,7.25,h2o2_kerosene_proxy,0.59662,0.48679,0.71659,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,8.0,h2o2_kerosene_proxy,0.40402,0.26455,0.71659,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,5.0,h2o2_kerosene_proxy,0.40546,0.26455,0.72081,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,5.75,h2o2_kerosene_proxy,0.59807,0.48679,0.72081,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,6.5,h2o2_kerosene_proxy,0.91285,0.85,0.72081,0.72,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,7.25,h2o2_kerosene_proxy,0.59807,0.48679,0.72081,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
17.5,8.0,h2o2_kerosene_proxy,0.40546,0.26455,0.72081,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,5.0,h2o2_kerosene_proxy,0.40672,0.26455,0.72446,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,5.75,h2o2_kerosene_proxy,0.59932,0.48679,0.72446,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,6.5,h2o2_kerosene_proxy,0.9141,0.85,0.72446,0.72,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,7.25,h2o2_kerosene_proxy,0.59932,0.48679,0.72446,0.48028,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
20.0,8.0,h2o2_kerosene_proxy,0.40672,0.26455,0.72446,0.33361,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
